label,text
negative,"😟Confused. can't figure out how to push file to git respiratory. nothing, just github. Wish the instructions were more clear about uploading the files using terminal. Not yet. can't find the solution. NA."
positive,"😊Satisfied. So far the course has been interesting which leaves me to be satisfied.. Understanding the concept of how to use git correctly.. To understand how to use git, I looked back at the Canvas modules and watched some YouTube tutorials.. None so far.."
positive,"😊Satisfied. I overall feel pretty good about the course.. Learning Github. Looking up tutorials, or even using the tutorial that Connor posted last week.. N/a."
positive,"😊Satisfied. The content of the course is interesting.. Pushing to github.. Help from the TAs, learned how to force push.. Not at the moment.."
negative,"😖Frustrated,😟Confused. I genuinely have no idea what I am doing at some points. learning python really since I've only used java. well Im practicing for one. ."
positive,😊Satisfied. It's a decent class.. N/A. N/A. No..
negative,"😟Confused,😰Anxious,😐Neutral (No strong positive or negative emotions). I am not a fan of github nor am i familiar with it so its just a bit confusing to use and have to figure out ontop of everything else im trying to figure out. but trying to take things day by day. the github set up . joins office hours and tried to get some help . github still. trying to figure everything out, and asking questions with TAs."
negative,"😖Frustrated,😟Confused. really slow and github is annoying to use so far. github. lots of videos. github."
positive,😊Satisfied. I feel comfortable so far I just have some questions.. Adjusting the assignments to the pycharm.. TA hours. N/A.
positive,"😊Satisfied. I like the environment of the class. The way the teacher explains it is perfect.  I am very excited to learn more about the work environment aspect of software engineering.  . My biggest challenge some times is understanding Python concepts.. I just took time to practice python and understand the topics.. No not really, just enjoying the class as it goes. ."
positive,😊Satisfied. I feel like we have learned some things that are going to be relevant in the real world. I would like to get to group projects soon.. The ham sandwich maker just took a lot more time than I expected it would.. Just ended up having to stay up later than I thought. I will plan for more time for this classes projects in the future.. no.
positive,😍Excited. It is useful to finally learn git and github and how to apply it.. Learning git.. I used my resources and took advantage of chatgpt and the internet to help me use git.. No.
